K,t_s,I1,Q1,I2,Q2
150,0.00122,50.019409,-53.8765287,9.42678132,-74.406003
150,0.00123,64.3654104,-35.4856968,32.7563355,-67.4839275
150,0.00124,72.2348422,-13.5694733,52.6254421,-53.4102317
150,0.00125,72.843309,9.74083231,66.9601001,-33.74069
150,0.00126,66.1161825,32.0593809,74.201479,-10.5353985
150,0.00127,52.7407547,51.1711027,73.6890924,13.7952745
150,0.00128,34.0660009,65.1002379,65.4181117,36.6613338
150,0.00129,11.9682082,72.5165565,50.2472242,55.6837168
150,0.0013,-11.3615535,72.6158304,29.7892665,68.8409926
150,0.00131,-33.5407514,65.4048522,6.18159458,74.719064
150,0.00132,-52.3761198,51.6249166,-18.032392,72.7725545
150,0.00133,-65.9126885,32.641288,-40.3530901,63.160195
150,0.00134,-72.8596324,10.3285935,-58.4568932,46.9198767
150,0.00135,-72.4483398,-13.0233804,-70.4036625,25.7745155
150,0.00136,-64.7022667,-35.0844472,-74.9926052,1.90832924
150,0.00137,-50.45697,-53.5947598,-71.6860997,-22.1774903
150,0.00138,-31.1110785,-66.7291132,-60.8361313,-43.9129894
150,0.00139,-8.65081972,-73.1053412,-43.6083114,-61.046723
150,0.0014,14.703528,-72.1333948,-21.7983803,-71.7855906
150,0.00141,36.5844087,-63.8876377,2.32443197,-74.9843366
150,0.00142,54.7717307,-49.200889,26.1916679,-70.3338614
150,0.00143,67.4649822,-29.5574708,47.2998167,-58.2770957
150,0.00144,73.3429059,-6.8895545,63.4849618,-40.0920976
150,0.00145,71.8140072,16.4106606,72.9611306,-17.6823543
150,0.00146,63.0437822,38.1037909,74.7762475,6.60094753
150,0.00147,47.9116448,55.9355259,68.7445565,30.172006
150,0.00148,27.9807873,68.152719,55.4599333,50.5473558
150,0.00149,5.1963796,73.4935991,36.4029739,65.6174292
150,0.0015,-18.1230284,71.3803272,13.4983592,73.7830386
150,0.00151,-39.5767579,62.1115055,-10.8372036,74.207857
150,0.00152,-57.0707442,46.5706279,-34.0047104,66.857962
150,0.00153,-68.8352414,26.3557683,-53.581569,52.471954
150,0.00154,-73.6422095,3.42102879,-67.5817541,32.5698108
150,0.00155,-70.9772177,-19.8458954,-74.4681934,9.27886185
150,0.00156,-61.1908381,-41.1112559,-73.510698,-15.0097706
150,0.00157,-45.2129704,-58.2004791,-64.8688537,-37.7007859
150,0.00158,-24.6649761,-69.4772392,-49.4292181,-56.4510722
150,0.00159,-1.63417579,-73.7164228,-28.7619583,-69.3052413
150,0.0016,21.5437376,-70.5064828,-5.08893954,-74.8623
150,0.00161,42.588614,-60.2201355,19.1213501,-72.5772436
150,0.00162,59.3072896,-43.8489043,41.3253243,-62.6387879
150,0.00163,70.0590321,-23.0412395,59.2074275,-46.1274054
150,0.00164,73.7321249,0.0965644945,70.8587985,-24.7650423
150,0.00165,69.9889839,23.2430691,75.031503,-0.788008714
150,0.00166,59.1639896,44.0349547,71.3490063,23.2314703
150,0.00167,42.3924204,60.348481,60.1595801,44.8288845
150,0.00168,21.309812,70.6263749,42.6669857,61.6812517
150,0.00169,-1.94858337,73.7043252,20.7040157,72.1030839
150,0.0017,-24.9465046,69.3821768,-3.41337832,74.9387845
150,0.00171,-45.4578919,58.0806527,-27.2057117,69.9479802
150,0.00172,-61.3952949,40.92662,-48.1497741,57.5954953
150,0.00173,-71.1155123,19.5969997,-64.0389271,39.1872564
150,0.00174,-73.6887796,-3.71458513,-73.1930149,16.6710409
150,0.00175,-68.8051175,-26.6454129,-74.6941281,-7.57931309
150,0.00176,-56.962164,-46.8864768,-68.3692004,-31.0624979
150,0.00177,-39.3772948,-62.3815612,-54.846721,-51.2754005
150,0.00178,-17.7868674,-71.591189,-35.6005824,-66.103727
150,0.00179,5.57647677,-73.5110271,-12.578114,-74.0075464
150,0.0018,28.3611811,-68.0603062,11.7612239,-74.1427508
150,0.00181,48.2925261,-55.7248352,34.8429312,-66.47627
150,0.00182,63.3461335,-37.7662328,54.2555676,-51.8341374
150,0.00183,71.996699,-15.9639778,67.951919,-31.8270053
150,0.00184,73.3620553,7.44259898,74.6070987,-8.44709172
150,0.00185,67.3346276,30.1263591,73.3907447,15.8103127
150,0.00186,54.4899552,49.7518767,64.5109632,38.3805223
150,0.00187,36.1155423,64.3199339,48.874638,57.0024799
150,0.00188,14.1038136,72.4253168,28.1123462,69.6330626
150,0.00189,-9.33367437,73.1953682,4.39534868,74.9288092
150,0.0019,-31.8148492,66.5631189,-19.7773945,72.4067892
150,0.00191,-51.094736,53.1865598,-41.8636959,62.2781799
150,0.00192,-65.2095704,34.4472231,-59.5747879,45.6408849
150,0.00193,-72.7285615,12.2580827,-71.0370168,24.2088458
150,0.00194,-72.9175124,-11.1715774,-75.0557872,0.285116043
150,0.00195,-65.7426671,-33.5147939,-71.2327341,-23.7241673
150,0.00196,-51.9000774,-52.4571759,-59.8923438,-45.2620682
150,0.00197,-32.8103597,-66.0946725,-42.296853,-62.0241844
150,0.00198,-10.423885,-73.071341,-20.2610287,-72.2631979
150,0.00199,13.0334346,-72.6002109,3.8346109,-74.9457982
150,0.002,35.1628986,-64.8372821,27.5837081,-69.8113558
150,0.00201,53.7307101,-50.5267727,48.4247077,-57.3339283
150,0.00202,66.8827117,-31.1081198,64.2008849,-38.8371002
150,0.00203,73.2796914,-8.51832413,73.2286282,-16.2909377
150,0.00204,72.2736046,14.9202724,74.6071264,7.94053448
150,0.00205,63.9579938,36.8781311,68.18218,31.3444498
150,0.00206,49.1392122,55.0785007,54.5957292,51.4553384
150,0.00207,29.3776265,67.7286144,35.3010814,66.1983937
150,0.00208,6.61794858,73.5069452,12.3187322,73.9901242
150,0.00209,-16.779247,71.8952713,-11.9182565,74.0640356
150,0.0021,-38.5027693,62.9895018,-34.9116776,66.3647633
150,0.00211,-56.3383752,47.7468827,-54.286728,51.749781
150,0.00212,-68.4501872,27.6018423,-67.9519525,31.6977634
150,0.00213,-73.6475358,4.71257725,-74.4733649,8.36887656
150,0.00214,-71.4134615,-18.6881558,-73.2464794,-15.8480062
150,0.00215,-61.9064534,-40.1679301,-64.3841922,-38.3980352
150,0.00216,-46.1821789,-57.5867698,-48.7950898,-56.9600409
150,0.00217,-25.7488236,-69.1904107,-28.0536955,-69.5917618
150,0.00218,-2.71743915,-73.8119229,-4.35457474,-74.9008369
150,0.00219,20.6160741,-70.9322583,19.755572,-72.3792752
150,0.0022,41.8859111,-60.8278705,41.7913923,-62.2618657
150,0.00221,58.8857383,-44.629292,59.5165066,-45.6689306
150,0.00222,69.955313,-23.873155,70.9805851,-24.2926707
150,0.00223,73.877938,-0.698832323,74.9896404,-0.358138626
150,0.00224,70.3591578,22.559825,71.1836301,23.5907423
150,0.00225,59.6971593,43.5230648,59.9382432,45.0666193
150,0.00226,42.9890805,60.0847726,42.4378341,61.8717082
150,0.00227,21.9551105,70.5500929,20.4531746,72.2080013
150,0.00228,-1.3129235,73.8773782,-3.6404919,74.9450971
150,0.00229,-24.4693884,69.7356968,-27.3911063,69.8676553
150,0.0023,-45.1312461,58.5279969,-48.2225998,57.4689205
150,0.00231,-61.2109584,41.3999571,-64.0312434,39.071938
150,0.00232,-71.1208467,20.101625,-73.1537297,16.6170154
150,0.00233,-73.8476934,-3.27809915,-74.6016965,-7.62545923
150,0.00234,-69.0712405,-26.3013976,-68.2752834,-31.0418682
150,0.00235,-57.3156243,-46.690502,-54.8037153,-51.2019796
150,0.00236,-39.7597486,-62.3353396,-35.6162387,-66.0110309
150,0.00237,-18.1378808,-71.6572668,-12.7037596,-73.9198594
