formation_id,name,date_reported,location,source_url,satellite_count,inner_outer_ratio,outer_diameter_m,inner_diameter_m,raw_measurement_text,provenance
CC-1990-UNKNOWN-TWYFORD-DOWN-MORESTEAD-HAMPSHIRE,"Twyford Down, Morestead, Hampshire",1990-unknown,"Twyford Down, Morestead, Hampshire",https://www.cropcirclearchives.co.uk/archives/1990/chilcombdown90.html,,0.067227,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1991-05-13-YARNBURY-CASTLE-WARMINSTER-WILTSHIRE,"Yarnbury Castle, Warminster, Wiltshire",1991-05-13,"Yarnbury Castle, Warminster, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1991/yarnburycastle91b.html,,0.091837,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1991-05-19-MARDON-COWBAG-MARDEN-WILTSHIRE-FORMED-EARLY-MAY-1991,"Mardon Cowbag, Marden, Wiltshire. Formed early May 1991",1991-05-19,"Mardon Cowbag, Marden, Wiltshire. Formed early May 1991",https://www.cropcirclearchives.co.uk/archives/1991/mardencowbag1991a.html,,0.107438,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1991-05-24-ARRETON-NEWPORT-ISLE-OF-WIGHT,"Arreton, Newport, Isle Of Wight",1991-05-24,"Arreton, Newport, Isle Of Wight",https://www.cropcirclearchives.co.uk/archives/1991/arreton91a.html,,0.065421,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1991-06-19-THE-1ST-INSECTOGRAM-AT-CHEESEFOOT-HEAD-WINCHESTER-HAMPS,"The 1st Insectogram at Cheesefoot Head, Winchester, Hampshire. Formed Mid June 1991",1991-06-19,"The 1st Insectogram at Cheesefoot Head, Winchester, Hampshire. Formed Mid June 1991",https://www.cropcirclearchives.co.uk/archives/1991/cheese1991b.html,8,0.397661,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1991-06-29-LURKLEY-HILL-WEST-OVERTON-WILTSHIRE-FORMED-29TH-JUNE-19,"Lurkley Hill, West Overton, Wiltshire. Formed 29th June 1991",1991-06-29,"Lurkley Hill, West Overton, Wiltshire. Formed 29th June 1991",https://www.cropcirclearchives.co.uk/archives/1991/lurkleyhill1991a.html,,0.109375,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1991-06-30-NEWTON-ST-LOE-BATH-AVON-FORMED-30TH-JUNE,"Newton St Loe, Bath, Avon. Formed 30th June",1991-06-30,"Newton St Loe, Bath, Avon. Formed 30th June",https://www.cropcirclearchives.co.uk/archives/1991/newton.html,7,0.088235,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1991-07-17-BARBURY-CASTLE-WILTSHIRE,Barbury Castle | Wiltshire,1991-07-17,Barbury Castle | Wiltshire,https://www.cropcirclecenter.com/ccdata/1991/07/17/UK19910717_A.html,,0.161765,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1991-UNKNOWN-AVEBURY-TRUSLOE-AVEBURY-WILTSHIRE,"Avebury Trusloe, Avebury, Wiltshire",1991-unknown,"Avebury Trusloe, Avebury, Wiltshire",https://www.cropcirclearchives.co.uk/archives/1991/beck91.html,8,0.351852,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
CC-1991-UNKNOWN-CROP-CIRCLES-OF-1991-BY-RUSSELL-STANNARD,Crop Circles of 1991 by Russell Stannard,1991-unknown,Crop Circles of 1991 by Russell Stannard,https://www.cropcirclearchives.co.uk/archives/1991/july91.html,,0.098446,,,absolute dimensions unavailable; calculate scale-free ratios from imagery,COOKBOOK_EXTRACTED_ALL_IMAGES
