x_mm,y_mm,z_mm,value_normalized,raw_max_j_m3
-2.7986,4.8473,10.1540,3.404313e-05,2.659363e-04
2.7986,4.8473,10.1540,3.292494e-05,2.659363e-04
2.7986,-4.8473,10.1540,3.437486e-05,2.659363e-04
5.5972,-0.0000,10.1540,4.672559e-05,2.659363e-04
8.4498,-2.6646,59.0745,8.564646e-02,2.659363e-04
8.4498,2.6646,59.0745,8.564646e-02,2.659363e-04
6.2535,-10.8314,21.1436,3.186217e-04,2.659363e-04
10.5944,-0.0000,63.5325,2.735755e-32,2.659363e-04
5.2972,9.1750,63.5325,2.018050e-01,2.659363e-04
-5.2972,9.1750,63.5325,1.685753e-32,2.659363e-04
-5.2972,-9.1750,63.5325,1.172112e-32,2.659363e-04
-10.5944,-0.0000,63.5325,1.574809e-32,2.659363e-04
5.2972,-9.1750,63.5325,2.018125e-01,2.659363e-04
9.5697,0.0000,89.0960,2.657315e-04,2.659363e-04
4.7848,8.2876,89.0960,1.500057e-04,2.659363e-04
4.7848,-8.2876,89.0960,1.459990e-04,2.659363e-04
-4.7848,-8.2876,89.0960,1.506690e-04,2.659363e-04
-4.7848,8.2876,89.0960,1.567204e-04,2.659363e-04
-9.5697,-0.0000,89.0960,2.337164e-04,2.659363e-04
10.2470,-0.0000,72.2229,2.238190e-02,2.659363e-04
5.1235,8.8742,72.2229,1.965606e-01,2.659363e-04
-5.1235,8.8742,72.2229,1.182670e-02,2.659363e-04
-5.1235,-8.8742,72.2229,1.170927e-02,2.659363e-04
-10.2470,-0.0000,72.2229,4.480637e-03,2.659363e-04
5.1235,-8.8742,72.2229,1.969850e-01,2.659363e-04
4.9507,-8.5749,80.8614,4.981862e-03,2.659363e-04
4.9507,8.5749,80.8614,5.082511e-03,2.659363e-04
-4.9507,8.5749,80.8614,2.756376e-03,2.659363e-04
-4.9507,-8.5749,80.8614,2.739277e-03,2.659363e-04
-9.9014,0.0000,80.8614,2.949853e-03,2.659363e-04
9.9014,-0.0000,80.8614,4.702091e-03,2.659363e-04
